k	(danh từ) k.
kremlin	(danh từ) điện crem-lanh.
kremlinologist	(danh từ) người nghiên cứu chính trị liên-xô.
kremlinology	(danh từ) sự nghiên cứu chính sách của chính phủ liên xô (cũ).
kreuzer	(danh từ) đồng tiền nhỏ trước dùng ở đức.
krill	(danh từ) loài nhuyễn thể mà cá voi ăn được.
kris	(danh từ) dao găm của người mã lai.
kromesky	(danh từ) món crômeki (thịt gà thái nhỏ rán cuộn mỡ).
krona	(danh từ) đồng cuaron (tiền thụy điển).
krona	(danh từ) đồng cuaron (tiền island).
krone	(danh từ) đồng curon (bằng bạc ở đan mạch, na uy, thuỵ điển, aó; bằng vàng ở đức xưa, giá trị là 10 mác).
kroo	(danh từ) người cru (người da đen bờ biển li-bê-ri-a).
krou	(danh từ) người cru (người da đen bờ biển li-bê-ri-a).
kru	(danh từ) người cru (người da đen bờ biển li-bê-ri-a).
krugerrand	(danh từ) đồng tiền vàng ở nam phi.
krummholz	(danh từ) cây rừng thấp.
krummhorn	(danh từ) (xem) crumhorn.
krummhorn	(danh từ) loại sáo, kèn thời trung cổ.
krypton	(danh từ) (hoá học) kripton.
kshatriya	(danh từ) người hinđu thuộc đẳng cấp võ sĩ.
ku klux klan	(danh từ) (viết tắt kkk) đảng ku klux klan, đảng 3k.
ku-klux-klan	(danh từ) đảng 3k (ở mỹ).
ku-klux-klaner	(danh từ) đảng viên 3k.
ku-kluxer	(danh từ) như ku-klux-klaner.
kudos	(danh từ) (từ lóng) tiếng tăm, danh tiếng; quang vinh.
kudu	(danh từ) (động vật học) linh dương cuddu (nam-phi).
kufic	(danh từ) (xem) cufic.
kufic	(danh từ) dạng mẫu tự sơ khai của a rập (trong chữ viết trang trí).
kufic	(tính từ) thuộc, ở trong bảng văn, lời viết.
kukri	(danh từ) dao quằm lớn.
kulak	(danh từ) phú nông, cu-lắc (nga).
kultur	(danh từ) (thường) viết hoa văn hoá.
kultur	(danh từ) (khinh miệt) văn hoá đức (nhấn mạnh sự phục tùng của cá nhân đối với quốc gia).
kumara	(danh từ) khoai lang.
kumiss	(danh từ) rượu sữa ngựa.
kummel	(danh từ) rượu thìa là.
kumquat	(danh từ) quả quất vàng.
kung fu	(danh từ) cung phu, môn võ trung hoa.
kuomintang	(danh từ) trung hoa quốc dân đảng (do tôn trung sơn sáng lập).
kurchatovium	(danh từ) (hóa học) rutecfodium.
kurd	(danh từ) người kurd (dân tộc) sống bằng nghề nông ở những vùng giáp ranh thổ nhĩ kỳ, iran, írăc và xiri.
kurdish	(tính từ) xem kurd chỉ thuộc về.
kurdish	(danh từ) tiếng iran của người kurd.
kurdistan	(danh từ) tấm thảm do người kurd dệt (nổi tiếng vì màu sắc đẹp và bền).
kurgan	(danh từ) một thời tiền sử (ở đông âu đặc biệt ở miền nam nước nga).
kuri	(danh từ) một giống chó.
kuri	(danh từ) một người không ai ưa.
kuri	(danh từ) (từ úc, khinh miệt) người maori (niu di-lân).
kurtosis	(danh từ) (toán kinh tế) độ nhọn.
kvass	(danh từ) nước cơvat (một loại giải khát hơi chua của liên xô).
kvetch	(nội động từ) (từ lóng) than phiền, kêu ca.
kvetch	(nội động từ) đau quặn, đau thắt.
kw	(danh từ) (viết tắtcủa kilowatt, ) kilôoát.
kwashiorkor	(danh từ) chứng suy dinh dưỡng ở trẻ em.
kwela	(danh từ) nhạc jazz ở nam phi.
kyanization	(danh từ) phép xử lý (gỗ) bằng thuỷ ngân clorua (để chống mốc).
kyanize	(ngoại động từ) xử lý (gỗ) bằng thuỷ ngân clorua (để chống mốc).
kye	(danh từ) (phương ngữ) gia súc.
kyle	(danh từ) kênh, eo biển nhỏ (ở ê cốt).
kylin	(danh từ) con kỳ lân.
kyloe	(danh từ) bò cailu (giống bò nhỏ sừng dài ở ê-cốt).
kymogram	(danh từ) bản ghi bằng máy ghi sóng.
kymograph	(danh từ) máy ghi sóng.
kymographic	(tính từ) (thuộc) máy ghi sóng; ghi bằng máy ghi sóng.
kyphos	(danh từ) (y học) bướu gù.
kyphosis	(danh từ) (y học) tật gù.
kyphotic	(tính từ) (y học) gù.
